flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,sourceTransportPort,destinationTransportPort,protocolIdentifier,"apply(packetTotalCount,forward)","apply(octetTotalCount,forward)","apply(min(ipTotalLength),forward)","apply(mean(ipTotalLength),forward)","apply(max(ipTotalLength),forward)","apply(stdev(ipTotalLength),forward)","apply(min(_interPacketTimeSeconds),forward)","apply(mean(_interPacketTimeSeconds),forward)","apply(max(_interPacketTimeSeconds),forward)","apply(stdev(_interPacketTimeSeconds),forward)","apply(tcpSynTotalCount,forward)","apply(tcpAckTotalCount,forward)","apply(tcpFinTotalCount,forward)","apply(_tcpCwrTotalCount,forward)","apply(packetTotalCount,backward)","apply(octetTotalCount,backward)","apply(min(ipTotalLength),backward)","apply(mean(ipTotalLength),backward)","apply(max(ipTotalLength),backward)","apply(stdev(ipTotalLength),backward)","apply(min(_interPacketTimeSeconds),backward)","apply(mean(_interPacketTimeSeconds),backward)","apply(max(_interPacketTimeSeconds),backward)","apply(stdev(_interPacketTimeSeconds),backward)","apply(tcpSynTotalCount,backward)","apply(tcpAckTotalCount,backward)","apply(tcpFinTotalCount,backward)","apply(_tcpCwrTotalCount,backward)",Attack,Label
1499281341861,0,192.168.10.15,192.168.10.50,57089,22,6,1,40,40,40.0,40,,,,,,0,1,0,0,0,0,,,,,,,,,0,0,0,0,Normal,0
1499281343315,0,192.168.10.15,192.168.10.50,57090,22,6,1,40,40,40.0,40,,,,,,0,1,0,0,0,0,,,,,,,,,0,0,0,0,Normal,0
1499343784239,5751,172.16.0.1,192.168.10.50,45920,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499343785500,5490,172.16.0.1,192.168.10.50,45940,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499343786766,5225,172.16.0.1,192.168.10.50,45960,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499343901456,5563,172.16.0.1,192.168.10.50,47720,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499343902719,5301,172.16.0.1,192.168.10.50,47740,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499345982454,5184,172.16.0.1,192.168.10.50,51550,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499345983712,5927,172.16.0.1,192.168.10.50,51570,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499345986245,5394,172.16.0.1,192.168.10.50,51608,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499345987513,5127,172.16.0.1,192.168.10.50,51628,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.6666666666666667,5.0,2.886751345948129,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,5.0,5.0,5.0,,1,2,1,0,Web Attack:Brute Force,1
1499346006622,4999,172.16.0.1,192.168.10.50,51920,80,6,4,216,52,54.0,60,3.999999999999999,0.0,1.3333333333333333,4.0,2.309401076758504,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,4.0,4.0,4.0,,1,2,1,0,Web Attack:Brute Force,1
1499346009142,2479,172.16.0.1,192.168.10.50,51958,80,6,4,216,52,54.0,60,3.999999999999999,0.0,0.6666666666666666,2.0,1.1547005383792517,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,2.0,2.0,2.0,,1,2,1,0,Web Attack:Brute Force,1
1499346010400,1221,172.16.0.1,192.168.10.50,51978,80,6,4,216,52,54.0,60,3.999999999999999,0.0,0.3333333333333333,1.0,0.5773502691896258,1,3,1,0,2,112,52.0,56.0,60.0,5.656854249492381,1.0,1.0,1.0,,1,2,1,0,Web Attack:Brute Force,1
1499265361082,0,192.168.10.51,72.21.91.29,35983,80,6,1,40,40,40.0,40,,,,,,0,0,0,0,0,0,,,,,,,,,0,0,0,0,Normal,0
1499364128594,47,192.168.10.8,192.168.10.3,50492,53,17,2,122,61,61.0,61,0.0,0.0,0.0,0.0,,0,0,0,0,2,214,107.0,107.0,107.0,0.0,0.0,0.0,0.0,,0,0,0,0,Infiltration:Dropbox download - (Portscan + Nmap) from victim,1
